participant_id,trial_participant,difficulty,signal,stimulus_type,trial_in_condition,rt,choice,correct_choice,accuracy
1,94,easy,present,simple,94,0.545,1,1,1
1,95,easy,present,simple,95,0.805,1,1,1
1,96,easy,present,simple,96,0.531,1,1,1
1,97,easy,present,simple,97,0.683,1,1,1
1,98,easy,present,simple,98,0.690,1,1,1
1,99,easy,present,simple,99,0.676,1,1,1
1,100,easy,present,simple,100,0.525,1,1,1
1,101,easy,present,simple,101,1.522,1,1,1
1,102,easy,present,simple,102,0.613,1,1,1
1,103,easy,present,simple,103,0.956,1,1,1
1,104,easy,present,simple,104,0.775,1,1,1
1,105,easy,present,simple,105,0.554,1,1,1
1,106,easy,present,simple,106,0.902,1,1,1
1,107,easy,present,simple,107,0.594,1,1,1
1,108,easy,present,simple,108,1.036,1,1,1
1,109,easy,present,simple,109,0.682,1,1,1
1,110,easy,present,simple,110,1.041,1,1,1
1,111,easy,present,simple,111,0.763,1,1,1
1,112,easy,present,simple,112,0.791,1,1,1
1,113,easy,present,simple,113,0.642,1,1,1
1,114,easy,present,simple,114,1.621,1,1,1
1,115,easy,present,simple,115,0.728,1,1,1
1,116,easy,present,simple,116,0.602,1,1,1
1,117,easy,present,simple,117,0.704,1,1,1
1,118,easy,present,simple,118,0.430,1,1,1
1,119,easy,present,simple,119,0.553,1,1,1
1,120,easy,present,simple,120,0.736,1,1,1
1,121,easy,present,simple,121,0.546,1,1,1
1,122,easy,present,simple,122,0.709,1,1,1
1,123,easy,present,simple,123,0.610,1,1,1
1,124,easy,present,simple,124,0.492,1,1,1
1,125,easy,present,simple,125,0.554,1,1,1
1,126,easy,present,simple,126,0.676,1,1,1
1,127,easy,present,simple,127,0.693,1,1,1
1,128,easy,present,simple,128,0.684,1,1,1
1,129,easy,present,simple,129,0.731,1,1,1
1,130,easy,present,simple,130,0.732,1,1,1
1,131,easy,present,simple,131,0.609,1,1,1
1,132,easy,present,simple,132,1.086,1,1,1
1,133,easy,present,simple,133,0.575,1,1,1
1,134,easy,present,simple,134,0.608,1,1,1
1,135,easy,present,simple,135,1.072,1,1,1
1,136,easy,present,simple,136,0.889,1,1,1
1,137,easy,present,simple,137,0.775,1,1,1
1,138,easy,present,simple,138,0.476,1,1,1
1,139,easy,present,simple,139,1.187,1,1,1
1,140,easy,present,simple,140,0.782,1,1,1
1,141,easy,present,simple,141,0.498,1,1,1
1,142,easy,present,simple,142,1.010,1,1,1
1,143,easy,present,simple,143,0.503,1,1,1
1,144,easy,present,simple,144,0.707,1,1,1
1,145,easy,present,simple,145,0.486,1,1,1
1,146,easy,present,simple,146,0.965,1,1,1
1,147,easy,present,simple,147,0.891,1,1,1
1,148,easy,present,simple,148,0.679,1,1,1
1,149,easy,present,simple,149,0.600,1,1,1
1,150,easy,present,simple,150,0.463,1,1,1
1,151,easy,present,simple,151,0.767,1,1,1
1,152,easy,present,simple,152,0.616,1,1,1
1,153,easy,present,simple,153,0.792,1,1,1
1,154,easy,present,simple,154,1.004,1,1,1
1,155,easy,present,simple,155,0.980,1,1,1
1,156,easy,present,simple,156,0.429,1,1,1
1,157,easy,present,simple,157,0.579,1,1,1
1,158,easy,present,simple,158,0.800,1,1,1
1,159,easy,present,simple,159,0.506,1,1,1
1,160,easy,present,simple,160,0.652,1,1,1
1,161,easy,present,simple,161,0.457,1,1,1
1,162,easy,present,simple,162,0.518,1,1,1
1,163,easy,present,simple,163,0.433,1,1,1
1,164,easy,present,simple,164,0.871,1,1,1
1,165,easy,present,simple,165,0.520,1,1,1
1,166,easy,present,simple,166,0.572,1,1,1
1,167,easy,present,simple,167,1.237,1,1,1
1,168,easy,present,simple,168,0.775,1,1,1
1,169,easy,present,simple,169,0.444,1,1,1
1,170,easy,present,simple,170,0.504,1,1,1
1,171,easy,present,simple,171,0.713,1,1,1
1,172,easy,present,simple,172,0.682,1,1,1
1,173,easy,present,simple,173,0.528,1,1,1
1,174,easy,present,simple,174,1.284,1,1,1
1,175,easy,present,simple,175,0.705,1,1,1
1,176,easy,present,simple,176,0.659,1,1,1
1,177,easy,present,simple,177,0.690,1,1,1
1,178,easy,present,simple,178,0.799,1,1,1
1,179,easy,present,simple,179,0.559,1,1,1
1,180,easy,present,simple,180,0.590,1,1,1
1,181,easy,present,simple,181,0.518,1,1,1
1,182,easy,present,simple,182,0.513,1,1,1
1,183,easy,present,simple,183,1.381,1,1,1
1,184,easy,present,simple,184,0.806,1,1,1
1,185,easy,present,simple,185,0.639,1,1,1
1,186,easy,present,simple,186,0.528,1,1,1
1,187,easy,present,simple,187,0.540,1,1,1
1,188,easy,present,simple,188,0.460,1,1,1
1,189,easy,present,simple,189,0.610,1,1,1
1,190,easy,present,simple,190,0.556,1,1,1
1,191,easy,present,simple,191,0.770,1,1,1
1,192,easy,present,simple,192,0.581,1,1,1
1,193,easy,present,simple,193,0.507,1,1,1
1,194,easy,present,simple,194,0.439,1,1,1
1,195,easy,present,simple,195,0.461,1,1,1
1,196,easy,present,simple,196,0.753,1,1,1
1,197,easy,present,simple,197,0.616,1,1,1
1,198,easy,present,simple,198,0.656,1,1,1
1,199,easy,present,simple,199,1.086,1,1,1
1,200,easy,present,simple,200,0.520,1,1,1
1,201,easy,present,simple,201,0.742,1,1,1
1,202,easy,present,simple,202,0.538,1,1,1
1,203,easy,present,simple,203,0.437,1,1,1
1,204,easy,present,simple,204,0.825,1,1,1
1,205,easy,present,simple,205,0.560,1,1,1
1,206,easy,present,simple,206,0.586,1,1,1
1,207,easy,present,simple,207,0.686,1,1,1
1,208,easy,present,simple,208,0.930,1,1,1
1,209,easy,present,simple,209,0.716,1,1,1
1,210,easy,present,simple,210,1.019,1,1,1
1,211,easy,present,simple,211,0.543,1,1,1
1,212,easy,present,simple,212,0.878,1,1,1
1,213,easy,present,simple,213,0.513,1,1,1
1,214,easy,present,simple,214,1.530,1,1,1
1,215,easy,present,simple,215,0.762,1,1,1
1,216,easy,present,simple,216,0.524,1,1,1
1,217,easy,present,simple,217,1.423,1,1,1
1,218,easy,present,simple,218,0.797,1,1,1
1,219,easy,present,simple,219,0.540,1,1,1
1,220,easy,present,simple,220,0.523,1,1,1
1,221,easy,present,simple,221,0.646,1,1,1
1,222,easy,present,simple,222,0.437,1,1,1
1,223,easy,present,simple,223,0.519,1,1,1
1,224,easy,present,simple,224,0.603,1,1,1
1,225,easy,present,simple,225,0.585,1,1,1
1,226,easy,present,simple,226,0.621,1,1,1
1,227,easy,present,simple,227,0.544,1,1,1
1,228,easy,present,simple,228,0.687,1,1,1
1,229,easy,present,simple,229,0.998,1,1,1
1,230,easy,present,simple,230,0.485,1,1,1
1,231,easy,present,simple,231,0.650,1,1,1
1,232,easy,present,simple,232,0.494,1,1,1
1,233,easy,present,simple,233,0.787,1,1,1
1,234,easy,present,simple,234,0.594,1,1,1
1,235,easy,present,simple,235,0.678,1,1,1
1,236,easy,present,simple,236,0.507,1,1,1
1,237,easy,present,simple,237,0.495,1,1,1
1,238,easy,present,simple,238,0.634,1,1,1
1,239,easy,present,simple,239,0.578,1,1,1
1,240,easy,present,simple,240,1.339,1,1,1
1,241,easy,present,simple,241,0.839,1,1,1
1,242,easy,present,simple,242,0.819,1,1,1
1,243,easy,present,simple,243,1.112,1,1,1
1,244,easy,present,simple,244,0.474,1,1,1
1,245,easy,present,simple,245,0.668,1,1,1
1,246,easy,present,simple,246,0.687,1,1,1
1,247,easy,present,simple,247,0.550,1,1,1
1,248,easy,present,simple,248,0.531,1,1,1
1,249,easy,present,simple,249,0.476,1,1,1
1,250,easy,present,simple,250,0.435,1,1,1
1,251,easy,present,simple,251,1.246,1,1,1
1,252,easy,present,simple,252,0.747,1,1,1
1,253,easy,present,simple,253,0.860,1,1,1
1,254,easy,present,simple,254,0.547,1,1,1
1,255,easy,present,simple,255,0.687,1,1,1
1,256,easy,present,simple,256,0.465,1,1,1
1,257,easy,present,simple,257,0.634,1,1,1
1,258,easy,present,simple,258,1.025,1,1,1
1,259,easy,present,simple,259,0.569,1,1,1
1,260,easy,present,simple,260,0.526,1,1,1
1,261,easy,present,simple,261,1.460,1,1,1
1,262,easy,present,simple,262,1.346,1,1,1
1,263,easy,present,simple,263,0.879,1,1,1
1,264,easy,present,simple,264,0.716,1,1,1
1,265,easy,present,simple,265,1.022,1,1,1
1,266,easy,present,simple,266,0.554,1,1,1
1,267,easy,present,simple,267,0.963,1,1,1
1,268,easy,present,simple,268,0.710,1,1,1
1,269,easy,present,simple,269,0.428,1,1,1
1,270,easy,present,simple,270,0.570,1,1,1
1,271,easy,present,simple,271,0.499,1,1,1
1,272,easy,present,simple,272,0.629,1,1,1
1,273,easy,present,simple,273,0.635,1,1,1
1,274,easy,present,simple,274,0.722,1,1,1
1,275,easy,present,simple,275,0.581,1,1,1
1,276,easy,present,simple,276,0.494,1,1,1
1,277,easy,present,simple,277,0.914,1,1,1
1,278,easy,present,simple,278,0.514,1,1,1
1,279,easy,present,simple,279,0.650,1,1,1
1,280,easy,present,simple,280,0.524,1,1,1
1,281,easy,present,simple,281,0.480,1,1,1
1,282,easy,present,simple,282,0.993,1,1,1
1,283,easy,present,simple,283,1.925,1,1,1
1,284,easy,present,simple,284,1.127,1,1,1
1,285,easy,present,simple,285,0.849,1,1,1
1,286,easy,present,simple,286,0.569,1,1,1
1,287,easy,present,simple,287,0.470,1,1,1
1,288,easy,present,simple,288,0.595,1,1,1
1,289,easy,present,simple,289,0.525,1,1,1
1,290,easy,present,simple,290,0.495,1,1,1
1,291,easy,present,simple,291,0.457,1,1,1
1,292,easy,present,simple,292,0.793,1,1,1
1,293,easy,present,simple,293,0.430,1,1,1
1,294,easy,present,simple,294,0.842,1,1,1
1,295,easy,present,simple,295,0.498,1,1,1
1,296,easy,present,simple,296,0.467,1,1,1
1,297,easy,present,simple,297,0.474,1,1,1
1,298,easy,present,simple,298,0.748,1,1,1
1,299,easy,present,simple,299,0.531,1,1,1
1,300,easy,present,simple,300,0.601,1,1,1
1,301,easy,present,simple,301,0.671,1,1,1
1,302,easy,present,simple,302,0.988,1,1,1
1,303,easy,present,simple,303,0.799,1,1,1
1,304,easy,present,simple,304,0.545,1,1,1
1,305,easy,present,simple,305,0.493,1,1,1
1,306,easy,present,simple,306,0.459,1,1,1
1,307,easy,present,simple,307,0.551,1,1,1
1,308,easy,present,simple,308,0.537,1,1,1
1,309,easy,present,simple,309,0.617,1,1,1
1,310,easy,present,simple,310,0.758,1,1,1
1,311,easy,present,simple,311,0.766,1,1,1
1,312,easy,present,simple,312,0.547,1,1,1
1,313,easy,present,simple,313,0.587,1,1,1
1,314,easy,present,simple,314,0.509,1,1,1
1,315,easy,present,simple,315,0.868,1,1,1
1,316,easy,present,simple,316,0.455,1,1,1
1,317,easy,present,simple,317,0.765,1,1,1
1,318,easy,present,simple,318,0.852,1,1,1
1,319,easy,present,simple,319,0.854,1,1,1
1,320,easy,present,simple,320,0.538,1,1,1
1,321,easy,present,simple,321,0.584,1,1,1
1,322,easy,present,simple,322,0.689,1,1,1
1,323,easy,present,simple,323,0.541,1,1,1
1,324,easy,present,simple,324,0.583,1,1,1
1,325,easy,present,simple,325,0.513,1,1,1
1,326,easy,present,simple,326,0.624,1,1,1
1,327,easy,present,simple,327,0.455,1,1,1
1,328,easy,present,simple,328,0.881,1,1,1
1,329,easy,present,simple,329,0.469,1,1,1
1,330,easy,present,simple,330,0.648,1,1,1
1,331,easy,present,simple,331,0.558,1,1,1
1,332,easy,present,simple,332,0.684,1,1,1
1,333,easy,present,simple,333,1.790,1,1,1
1,334,easy,present,simple,334,0.725,1,1,1
1,335,easy,present,simple,335,0.446,1,1,1
1,336,easy,present,simple,336,0.609,1,1,1
1,337,easy,present,simple,337,0.645,1,1,1
1,338,easy,present,simple,338,0.658,1,1,1
1,339,easy,present,simple,339,0.756,1,1,1
1,340,easy,present,simple,340,0.541,1,1,1
1,341,easy,present,simple,341,0.489,1,1,1
1,342,easy,present,simple,342,0.590,1,1,1
1,343,easy,present,simple,343,1.634,1,1,1
1,344,easy,present,simple,344,0.512,1,1,1
1,345,easy,present,simple,345,1.113,1,1,1
1,346,easy,present,simple,346,0.663,1,1,1
1,347,easy,present,simple,347,0.618,1,1,1
1,348,easy,present,simple,348,1.042,1,1,1
1,349,easy,present,simple,349,0.616,1,1,1
1,350,easy,present,simple,350,0.792,1,1,1
1,351,easy,present,simple,351,0.591,1,1,1
1,352,easy,present,simple,352,1.118,1,1,1
1,353,easy,present,simple,353,0.762,1,1,1
1,354,easy,present,simple,354,0.775,1,1,1
1,355,easy,present,simple,355,0.565,1,1,1
1,356,easy,present,simple,356,0.828,1,1,1
1,357,easy,present,simple,357,0.723,1,1,1
1,358,easy,present,simple,358,0.535,1,1,1
1,359,easy,present,simple,359,0.504,1,1,1
1,360,easy,present,simple,360,0.879,1,1,1
1,361,easy,present,simple,361,1.767,1,1,1
1,362,easy,present,simple,362,0.617,1,1,1
1,363,easy,present,simple,363,0.691,1,1,1
1,364,easy,present,simple,364,0.982,1,1,1
1,365,easy,present,simple,365,0.620,1,1,1
1,366,easy,present,simple,366,1.510,1,1,1
1,367,easy,present,simple,367,0.681,1,1,1
1,368,easy,present,simple,368,0.910,1,1,1
1,369,easy,present,simple,369,1.134,1,1,1
1,370,easy,present,simple,370,0.903,1,1,1
1,371,easy,present,simple,371,0.501,1,1,1
1,372,easy,present,simple,372,0.718,1,1,1
1,373,easy,present,simple,373,0.593,1,1,1
1,374,easy,present,simple,374,0.461,1,1,1
1,375,easy,present,simple,375,0.601,1,1,1
1,376,easy,present,simple,376,0.535,1,1,1
1,377,easy,present,simple,377,0.961,1,1,1
1,378,easy,present,simple,378,0.441,1,1,1
1,379,easy,present,simple,379,1.756,1,1,1
1,380,easy,present,simple,380,0.573,1,1,1
1,381,easy,present,simple,381,0.575,1,1,1
1,382,easy,present,simple,382,0.431,1,1,1
1,383,easy,present,simple,383,0.511,1,1,1
1,384,easy,present,simple,384,0.592,1,1,1
1,385,easy,present,simple,385,1.241,1,1,1
1,386,easy,present,simple,386,0.476,1,1,1
1,387,easy,present,simple,387,1.399,1,1,1
1,388,easy,present,simple,388,1.010,1,1,1
1,389,easy,present,simple,389,0.618,1,1,1
1,390,easy,present,simple,390,0.565,1,1,1
1,391,easy,present,simple,391,0.527,1,1,1
1,392,easy,present,simple,392,0.706,1,1,1
1,393,easy,present,simple,393,0.442,1,1,1
1,394,easy,present,simple,394,0.431,1,1,1
1,395,easy,present,simple,395,0.607,1,1,1
1,396,easy,present,simple,396,0.463,1,1,1
1,397,easy,present,simple,397,0.537,1,1,1
1,398,easy,present,simple,398,0.525,1,1,1
1,399,easy,present,simple,399,0.539,1,1,1
1,400,easy,present,simple,400,0.489,1,1,1
1,401,easy,present,simple,401,0.427,1,1,1
1,402,easy,present,simple,402,0.481,1,1,1
1,403,easy,present,simple,403,0.707,1,1,1
1,404,easy,present,simple,404,0.596,1,1,1
1,405,easy,present,simple,405,0.505,1,1,1
1,406,easy,present,simple,406,0.724,1,1,1
1,407,easy,present,simple,407,0.638,1,1,1
1,408,easy,present,simple,408,0.464,1,1,1
1,409,easy,present,simple,409,0.857,1,1,1
1,410,easy,present,simple,410,0.549,1,1,1
1,411,easy,present,simple,411,0.535,1,1,1
1,412,easy,present,simple,412,0.741,1,1,1
1,413,easy,present,simple,413,0.533,1,1,1
1,414,easy,present,simple,414,0.743,1,1,1
1,415,easy,present,simple,415,0.648,1,1,1
1,416,easy,present,simple,416,0.605,1,1,1
1,417,easy,present,simple,417,0.667,1,1,1
1,418,easy,present,simple,418,0.550,1,1,1
1,419,easy,present,simple,419,0.780,1,1,1
1,420,easy,present,simple,420,0.597,1,1,1
1,421,easy,present,simple,421,0.579,1,1,1
1,422,easy,present,simple,422,0.929,1,1,1
1,423,easy,present,simple,423,1.218,1,1,1
1,424,easy,present,simple,424,0.452,1,1,1
1,425,easy,present,simple,425,0.526,1,1,1
1,426,easy,present,simple,426,0.573,1,1,1
1,427,easy,present,simple,427,0.904,1,1,1
1,428,easy,present,simple,428,1.117,1,1,1
1,429,easy,present,simple,429,0.554,1,1,1
1,430,easy,present,simple,430,0.532,1,1,1
1,431,easy,present,simple,431,0.478,1,1,1
1,432,easy,present,simple,432,1.486,1,1,1
1,433,easy,present,simple,433,0.529,1,1,1
1,434,easy,present,simple,434,0.764,1,1,1
1,435,easy,present,simple,435,0.455,1,1,1
1,436,easy,present,simple,436,0.796,1,1,1
1,437,easy,present,simple,437,1.040,1,1,1
1,438,easy,present,simple,438,0.545,1,1,1
1,439,easy,present,simple,439,0.583,1,1,1
1,440,easy,present,simple,440,0.585,1,1,1
1,441,easy,present,simple,441,0.818,1,1,1
1,442,easy,present,simple,442,0.529,1,1,1
1,443,easy,present,simple,443,0.507,1,1,1
1,444,easy,present,simple,444,0.617,1,1,1
1,445,easy,present,simple,445,0.552,1,1,1
1,446,easy,present,simple,446,0.943,1,1,1
1,447,easy,present,simple,447,0.527,1,1,1
1,448,easy,present,simple,448,0.645,1,1,1
1,449,easy,present,simple,449,1.365,1,1,1
1,450,easy,present,simple,450,0.715,1,1,1
1,451,easy,present,simple,451,1.001,1,1,1
1,452,easy,present,simple,452,1.336,1,1,1
1,453,easy,present,simple,453,0.820,1,1,1
1,454,easy,present,simple,454,0.771,1,1,1
1,455,easy,present,simple,455,0.616,1,1,1
1,456,easy,present,simple,456,0.462,1,1,1
1,457,easy,present,simple,457,0.555,1,1,1
1,458,easy,present,simple,458,0.498,1,1,1
1,459,easy,present,simple,459,0.604,1,1,1
1,460,easy,present,simple,460,0.493,1,1,1
1,461,easy,present,simple,461,0.700,1,1,1
1,462,easy,present,simple,462,0.588,1,1,1
1,463,easy,present,simple,463,1.080,1,1,1
1,464,easy,present,simple,464,0.662,1,1,1
1,465,easy,present,simple,465,0.543,1,1,1
1,466,easy,present,simple,466,0.694,1,1,1
1,467,easy,present,simple,467,1.087,1,1,1
1,468,easy,present,simple,468,0.599,1,1,1
1,469,easy,present,simple,469,0.669,1,1,1
1,470,easy,present,simple,470,0.542,1,1,1
1,471,easy,present,simple,471,0.620,1,1,1
1,472,easy,present,simple,472,0.593,1,1,1
1,473,easy,present,simple,473,0.534,1,1,1
1,474,easy,present,simple,474,0.643,1,1,1
1,475,easy,present,simple,475,0.559,1,1,1
1,476,easy,present,simple,476,0.584,1,1,1
1,477,easy,present,simple,477,0.655,1,1,1
1,478,easy,present,simple,478,0.821,1,1,1
1,479,easy,present,simple,479,0.568,1,1,1
1,480,easy,present,simple,480,1.212,1,1,1
1,481,easy,present,simple,481,0.995,1,1,1
1,482,easy,present,simple,482,0.451,1,1,1
1,483,easy,present,simple,483,0.540,1,1,1
1,484,easy,present,simple,484,0.614,1,1,1
1,485,easy,present,simple,485,0.475,1,1,1
1,486,easy,present,simple,486,0.572,1,1,1
1,487,easy,present,simple,487,0.809,1,1,1
1,488,easy,present,simple,488,0.754,1,1,1
1,489,easy,present,simple,489,0.715,1,1,1
1,490,easy,present,simple,490,0.784,1,1,1
1,491,easy,present,simple,491,0.517,1,1,1
1,492,easy,present,simple,492,0.567,1,1,1
1,493,easy,present,simple,493,0.754,1,1,1
1,494,easy,present,simple,494,1.031,1,1,1
1,495,easy,present,simple,495,0.661,1,1,1
1,496,easy,present,simple,496,0.547,1,1,1
1,497,easy,present,simple,497,0.441,1,1,1
1,498,easy,present,simple,498,0.784,1,1,1
1,499,easy,present,simple,499,0.423,1,1,1
1,500,easy,present,simple,500,0.582,1,1,1
1,501,easy,present,simple,501,0.659,1,1,1
1,502,easy,present,simple,502,1.199,1,1,1
1,503,easy,present,simple,503,0.475,1,1,1
1,504,easy,present,simple,504,0.599,1,1,1
1,505,easy,present,simple,505,0.437,1,1,1
1,506,easy,present,simple,506,0.566,1,1,1
1,507,easy,present,simple,507,0.714,1,1,1
1,508,easy,present,simple,508,0.545,1,1,1
1,509,easy,present,simple,509,0.517,1,1,1
1,510,easy,present,simple,510,0.485,1,1,1
1,511,easy,present,simple,511,0.685,1,1,1
1,512,easy,present,simple,512,0.768,1,1,1
1,513,easy,present,simple,513,0.748,1,1,1
1,514,easy,present,simple,514,1.445,1,1,1
1,515,easy,present,simple,515,0.413,1,1,1
1,516,easy,present,simple,516,0.728,1,1,1
1,517,easy,present,simple,517,0.697,1,1,1
1,518,easy,present,simple,518,0.685,1,1,1
1,519,easy,present,simple,519,0.432,1,1,1
1,520,easy,present,simple,520,0.767,1,1,1
1,521,easy,present,simple,521,0.903,1,1,1
1,522,easy,present,simple,522,0.644,1,1,1
1,523,easy,present,simple,523,0.567,1,1,1
1,524,easy,present,simple,524,0.867,1,1,1
1,525,easy,present,simple,525,0.475,1,1,1
1,526,easy,present,simple,526,0.610,1,1,1
1,527,easy,present,simple,527,0.651,1,1,1
1,528,easy,present,simple,528,0.769,1,1,1
1,529,easy,present,simple,529,0.473,1,1,1
1,530,easy,present,simple,530,0.529,1,1,1
1,531,easy,present,simple,531,0.599,1,1,1
1,532,easy,present,simple,532,0.714,1,1,1
1,533,easy,present,simple,533,1.059,1,1,1
1,534,easy,present,simple,534,0.710,1,1,1
1,535,easy,present,simple,535,0.494,1,1,1
1,536,easy,present,simple,536,1.013,1,1,1
1,537,easy,present,simple,537,0.640,1,1,1
1,538,easy,present,simple,538,1.205,1,1,1
1,539,easy,present,simple,539,0.661,1,1,1
1,540,easy,present,simple,540,1.209,1,1,1
1,541,easy,present,simple,541,0.929,1,1,1
1,542,easy,present,simple,542,1.186,1,1,1
1,543,easy,present,simple,543,0.445,1,1,1
1,544,easy,present,simple,544,0.509,1,1,1
1,545,easy,present,simple,545,0.587,1,1,1
1,546,easy,present,simple,546,1.514,1,1,1
1,547,easy,present,simple,547,0.555,1,1,1
1,548,easy,present,simple,548,0.501,1,1,1
1,549,easy,present,simple,549,1.055,1,1,1
1,550,easy,present,simple,550,0.612,1,1,1
1,551,easy,present,simple,551,1.132,1,1,1
1,552,easy,present,simple,552,0.505,1,1,1
1,553,easy,present,simple,553,0.740,1,1,1
1,554,easy,present,simple,554,0.611,1,1,1
1,555,easy,present,simple,555,0.468,1,1,1
1,556,easy,present,simple,556,0.766,1,1,1
1,557,easy,present,simple,557,0.533,1,1,1
1,558,easy,present,simple,558,0.449,1,1,1
1,559,easy,present,simple,559,0.458,1,1,1
1,560,easy,present,simple,560,0.462,1,1,1
1,561,easy,present,simple,561,1.132,1,1,1
1,562,easy,present,simple,562,0.807,1,1,1
1,563,easy,present,simple,563,1.093,1,1,1
1,564,easy,present,simple,564,0.749,1,1,1
1,565,easy,present,simple,565,0.660,1,1,1
1,566,easy,present,simple,566,0.550,1,1,1
1,567,easy,present,simple,567,0.576,1,1,1
1,568,easy,present,simple,568,0.626,1,1,1
1,569,easy,present,simple,569,0.582,1,1,1
1,570,easy,present,simple,570,0.508,1,1,1
1,571,easy,present,simple,571,0.564,1,1,1
1,572,easy,present,simple,572,0.754,1,1,1
1,573,easy,present,simple,573,0.465,1,1,1
1,574,easy,present,simple,574,0.703,1,1,1
1,575,easy,present,simple,575,0.629,1,1,1
1,576,easy,present,simple,576,0.549,1,1,1
1,577,easy,present,simple,577,0.532,1,1,1
1,578,easy,present,simple,578,0.649,1,1,1
1,579,easy,present,simple,579,0.580,1,1,1
